"","ensembl_gene_id","hgnc_symbol","description","gene_biotype"
"1","ENSG00000000003","TSPAN6","tetraspanin 6","protein_coding"
"2","ENSG00000000005","TNMD","tenomodulin","protein_coding"
"3","ENSG00000000419","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","protein_coding"
"4","ENSG00000000457","SCYL3","SCY1 like pseudokinase 3","protein_coding"
"5","ENSG00000000460","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","protein_coding"
"6","ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase","protein_coding"
"7","ENSG00000000971","CFH","complement factor H","protein_coding"
"8","ENSG00000001036","FUCA2","alpha-L-fucosidase 2","protein_coding"
"9","ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit","protein_coding"
"10","ENSG00000001167","NFYA","nuclear transcription factor Y subunit alpha","protein_coding"
"11","ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1","protein_coding"
"12","ENSG00000001461","NIPAL3","NIPA like domain containing 3","protein_coding"
"13","ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor","protein_coding"
"14","ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","protein_coding"
"15","ENSG00000001617","SEMA3F","semaphorin 3F","protein_coding"
"16","ENSG00000001626","CFTR","CF transmembrane conductance regulator","protein_coding"
"17","ENSG00000001629","ANKIB1","ankyrin repeat and IBR domain containing 1","protein_coding"
"18","ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1","protein_coding"
"19","ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing","protein_coding"
"20","ENSG00000002016","RAD52","RAD52 homolog, DNA repair protein","protein_coding"
"21","ENSG00000002330","BAD","BCL2 associated agonist of cell death","protein_coding"
"22","ENSG00000002549","LAP3","leucine aminopeptidase 3","protein_coding"
"23","ENSG00000002586","CD99","CD99 molecule (Xg blood group)","protein_coding"
"24","ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1","protein_coding"
"25","ENSG00000002726","AOC1","amine oxidase copper containing 1","protein_coding"
"26","ENSG00000002745","WNT16","Wnt family member 16","protein_coding"
"27","ENSG00000002746","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","protein_coding"
"28","ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1","protein_coding"
"29","ENSG00000002834","LASP1","LIM and SH3 protein 1","protein_coding"
"30","ENSG00000002919","SNX11","sorting nexin 11","protein_coding"
"31","ENSG00000002933","TMEM176A","transmembrane protein 176A","protein_coding"
"32","ENSG00000003056","M6PR","mannose-6-phosphate receptor, cation dependent","protein_coding"
"33","ENSG00000003096","KLHL13","kelch like family member 13","protein_coding"
"34","ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1","protein_coding"
"35","ENSG00000003147","ICA1","islet cell autoantigen 1","protein_coding"
"36","ENSG00000003249","DBNDD1","dysbindin domain containing 1","protein_coding"
"37","ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","protein_coding"
"38","ENSG00000003400","CASP10","caspase 10","protein_coding"
"39","ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator","protein_coding"
"40","ENSG00000003436","TFPI","tissue factor pathway inhibitor","protein_coding"
"41","ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7","protein_coding"
"42","ENSG00000003756","RBM5","RNA binding motif protein 5","protein_coding"
"43","ENSG00000003987","MTMR7","myotubularin related protein 7","protein_coding"
"44","ENSG00000003989","SLC7A2","solute carrier family 7 member 2","protein_coding"
"45","ENSG00000004059","ARF5","ADP ribosylation factor 5","protein_coding"
"46","ENSG00000004139","SARM1","sterile alpha and TIR motif containing 1","protein_coding"
"47","ENSG00000004142","POLDIP2","DNA polymerase delta interacting protein 2","protein_coding"
"48","ENSG00000004399","PLXND1","plexin D1","protein_coding"
"49","ENSG00000004455","AK2","adenylate kinase 2","protein_coding"
"50","ENSG00000004468","CD38","CD38 molecule","protein_coding"
"51","ENSG00000004478","FKBP4","FKBP prolyl isomerase 4","protein_coding"
"52","ENSG00000004487","KDM1A","lysine demethylase 1A","protein_coding"
"53","ENSG00000004534","RBM6","RNA binding motif protein 6","protein_coding"
"54","ENSG00000004660","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1","protein_coding"
"55","ENSG00000004700","RECQL","RecQ like helicase","protein_coding"
"56","ENSG00000004766","VPS50","VPS50 subunit of EARP/GARPII complex","protein_coding"
"57","ENSG00000004776","HSPB6","heat shock protein family B (small) member 6","protein_coding"
"58","ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33","protein_coding"
"59","ENSG00000004779","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","protein_coding"
"60","ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4","protein_coding"
"61","ENSG00000004809","SLC22A16","solute carrier family 22 member 16","protein_coding"
"62","ENSG00000004838","ZMYND10","zinc finger MYND-type containing 10","protein_coding"
"63","ENSG00000004846","ABCB5","ATP binding cassette subfamily B member 5","protein_coding"
"64","ENSG00000004848","ARX","aristaless related homeobox","protein_coding"
"65","ENSG00000004864","SLC25A13","solute carrier family 25 member 13","protein_coding"
"66","ENSG00000004866","ST7","suppression of tumorigenicity 7","protein_coding"
"67","ENSG00000004897","CDC27","cell division cycle 27","protein_coding"
"68","ENSG00000004939","SLC4A1","solute carrier family 4 member 1 (Diego blood group)","protein_coding"
"69","ENSG00000004948","CALCR","calcitonin receptor","protein_coding"
"70","ENSG00000004961","HCCS","holocytochrome c synthase","protein_coding"
"71","ENSG00000004975","DVL2","dishevelled segment polarity protein 2","protein_coding"
"72","ENSG00000005001","PRSS22","serine protease 22","protein_coding"
"73","ENSG00000005007","UPF1","UPF1 RNA helicase and ATPase","protein_coding"
"74","ENSG00000005020","SKAP2","src kinase associated phosphoprotein 2","protein_coding"
"75","ENSG00000005022","SLC25A5","solute carrier family 25 member 5","protein_coding"
"76","ENSG00000005059","MCUB","mitochondrial calcium uniporter dominant negative subunit beta","protein_coding"
"77","ENSG00000005073","HOXA11","homeobox A11","protein_coding"
"78","ENSG00000005075","POLR2J","RNA polymerase II subunit J","protein_coding"
"79","ENSG00000005100","DHX33","DEAH-box helicase 33","protein_coding"
"80","ENSG00000005102","MEOX1","mesenchyme homeobox 1","protein_coding"
"81","ENSG00000005108","THSD7A","thrombospondin type 1 domain containing 7A","protein_coding"
"82","ENSG00000005156","LIG3","DNA ligase 3","protein_coding"
"83","ENSG00000005175","RPAP3","RNA polymerase II associated protein 3","protein_coding"
"84","ENSG00000005187","ACSM3","acyl-CoA synthetase medium chain family member 3","protein_coding"
"85","ENSG00000005189","REXO5","RNA exonuclease 5","protein_coding"
"86","ENSG00000005194","CIAPIN1","cytokine induced apoptosis inhibitor 1","protein_coding"
"87","ENSG00000005206","SPPL2B","signal peptide peptidase like 2B","protein_coding"
"88","ENSG00000005238","ATOSB","atos homolog B","protein_coding"
"89","ENSG00000005243","COPZ2","COPI coat complex subunit zeta 2","protein_coding"
"90","ENSG00000005249","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","protein_coding"
"91","ENSG00000005302","MSL3","MSL complex subunit 3","protein_coding"
"92","ENSG00000005339","CREBBP","CREB binding protein","protein_coding"
"93","ENSG00000005379","TSPOAP1","TSPO associated protein 1","protein_coding"
"94","ENSG00000005381","MPO","myeloperoxidase","protein_coding"
"95","ENSG00000005421","PON1","paraoxonase 1","protein_coding"
"96","ENSG00000005436","GCFC2","GC-rich sequence DNA-binding factor 2","protein_coding"
"97","ENSG00000005448","WDR54","WD repeat domain 54","protein_coding"
"98","ENSG00000005469","CROT","carnitine O-octanoyltransferase","protein_coding"
"99","ENSG00000005471","ABCB4","ATP binding cassette subfamily B member 4","protein_coding"
"100","ENSG00000005483","KMT2E","lysine methyltransferase 2E (inactive)","protein_coding"
"101","ENSG00000005486","RHBDD2","rhomboid domain containing 2","protein_coding"
"102","ENSG00000005513","SOX8","SRY-box transcription factor 8","protein_coding"
"103","ENSG00000005700","IBTK","inhibitor of Bruton tyrosine kinase","protein_coding"
"104","ENSG00000005801","ZNF195","zinc finger protein 195","protein_coding"
"105","ENSG00000005810","MYCBP2","MYC binding protein 2","protein_coding"
"106","ENSG00000005812","FBXL3","F-box and leucine rich repeat protein 3","protein_coding"
"107","ENSG00000005844","ITGAL","integrin subunit alpha L","protein_coding"
"108","ENSG00000005882","PDK2","pyruvate dehydrogenase kinase 2","protein_coding"
"109","ENSG00000005884","ITGA3","integrin subunit alpha 3","protein_coding"
"110","ENSG00000005889","ZFX","zinc finger protein X-linked","protein_coding"
"111","ENSG00000005893","LAMP2","lysosomal associated membrane protein 2","protein_coding"
"112","ENSG00000005961","ITGA2B","integrin subunit alpha 2b","protein_coding"
"113","ENSG00000005981","ASB4","ankyrin repeat and SOCS box containing 4","protein_coding"
"114","ENSG00000006007","GDE1","glycerophosphodiester phosphodiesterase 1","protein_coding"
"115","ENSG00000006015","REX1BD","required for excision 1-B domain containing","protein_coding"
"116","ENSG00000006016","CRLF1","cytokine receptor like factor 1","protein_coding"
"117","ENSG00000006025","OSBPL7","oxysterol binding protein like 7","protein_coding"
"118","ENSG00000006042","TMEM98","transmembrane protein 98","protein_coding"
"119","ENSG00000006047","YBX2","Y-box binding protein 2","protein_coding"
"120","ENSG00000006059","KRT33A","keratin 33A","protein_coding"
"121","ENSG00000006062","MAP3K14","mitogen-activated protein kinase kinase kinase 14","protein_coding"
"122","ENSG00000006071","ABCC8","ATP binding cassette subfamily C member 8","protein_coding"
"123","ENSG00000006116","CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3","protein_coding"
"124","ENSG00000006118","TMEM132A","transmembrane protein 132A","protein_coding"
"125","ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1","protein_coding"
"126","ENSG00000006128","TAC1","tachykinin precursor 1","protein_coding"
"127","ENSG00000006194","ZNF263","zinc finger protein 263","protein_coding"
"128","ENSG00000006210","CX3CL1","C-X3-C motif chemokine ligand 1","protein_coding"
"129","ENSG00000006282","SPATA20","spermatogenesis associated 20","protein_coding"
"130","ENSG00000006283","CACNA1G","calcium voltage-gated channel subunit alpha1 G","protein_coding"
"131","ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A","protein_coding"
"132","ENSG00000006377","DLX6","distal-less homeobox 6","protein_coding"
"133","ENSG00000006432","MAP3K9","mitogen-activated protein kinase kinase kinase 9","protein_coding"
"134","ENSG00000006451","RALA","RAS like proto-oncogene A","protein_coding"
"135","ENSG00000006453","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1","protein_coding"
"136","ENSG00000006459","KDM7A","lysine demethylase 7A","protein_coding"
"137","ENSG00000006468","ETV1","ETS variant transcription factor 1","protein_coding"
"138","ENSG00000006530","AGK","acylglycerol kinase","protein_coding"
"139","ENSG00000006534","ALDH3B1","aldehyde dehydrogenase 3 family member B1","protein_coding"
"140","ENSG00000006555","TTC22","tetratricopeptide repeat domain 22","protein_coding"
"141","ENSG00000006576","PHTF2","putative homeodomain transcription factor 2","protein_coding"
"142","ENSG00000006606","CCL26","C-C motif chemokine ligand 26","protein_coding"
"143","ENSG00000006607","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2","protein_coding"
"144","ENSG00000006611","USH1C","USH1 protein network component harmonin","protein_coding"
"145","ENSG00000006625","GGCT","gamma-glutamylcyclotransferase","protein_coding"
"146","ENSG00000006634","DBF4","DBF4 zinc finger","protein_coding"
"147","ENSG00000006638","TBXA2R","thromboxane A2 receptor","protein_coding"
"148","ENSG00000006652","IFRD1","interferon related developmental regulator 1","protein_coding"
"149","ENSG00000006659","LGALS14","galectin 14","protein_coding"
"150","ENSG00000006695","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10","protein_coding"
"151","ENSG00000006704","GTF2IRD1","GTF2I repeat domain containing 1","protein_coding"
"152","ENSG00000006712","PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component","protein_coding"
"153","ENSG00000006715","VPS41","VPS41 subunit of HOPS complex","protein_coding"
"154","ENSG00000006740","ARHGAP44","Rho GTPase activating protein 44","protein_coding"
"155","ENSG00000006744","ELAC2","elaC ribonuclease Z 2","protein_coding"
"156","ENSG00000006747","SCIN","scinderin","protein_coding"
"157","ENSG00000006756","ARSD","arylsulfatase D","protein_coding"
"158","ENSG00000006757","PNPLA4","patatin like phospholipase domain containing 4","protein_coding"
"159","ENSG00000006788","MYH13","myosin heavy chain 13","protein_coding"
"160","ENSG00000006831","ADIPOR2","adiponectin receptor 2","protein_coding"
"161","ENSG00000006837","CDKL3","cyclin dependent kinase like 3","protein_coding"
"162","ENSG00000007001","UPP2","uridine phosphorylase 2","protein_coding"
"163","ENSG00000007038","PRSS21","serine protease 21","protein_coding"
"164","ENSG00000007047","MARK4","microtubule affinity regulating kinase 4","protein_coding"
"165","ENSG00000007062","PROM1","prominin 1","protein_coding"
"166","ENSG00000007080","CCDC124","coiled-coil domain containing 124","protein_coding"
